# wavelength(um) wavelength_err(um) depth_w_rand depth_err
2.854428e+00 7.051029e-03 4.757175e-03 6.835909e-05
2.868497e+00 7.018899e-03 4.669411e-03 6.786827e-05
2.882504e+00 6.987337e-03 4.758633e-03 6.685488e-05
2.896446e+00 6.955948e-03 4.736067e-03 6.598989e-05
2.910327e+00 6.925075e-03 4.747523e-03 6.681898e-05
2.924147e+00 6.894470e-03 4.737026e-03 6.727275e-05
2.937905e+00 6.864204e-03 4.586937e-03 6.739967e-05
2.951604e+00 6.834310e-03 4.780712e-03 6.974915e-05
2.965242e+00 6.804700e-03 4.677410e-03 7.335264e-05
2.978822e+00 6.775463e-03 4.820256e-03 7.587765e-05
2.992344e+00 6.746372e-03 4.687149e-03 7.640715e-05
3.005808e+00 6.717935e-03 4.927034e-03 7.743946e-05
3.019216e+00 6.689510e-03 4.846797e-03 7.874161e-05
3.032566e+00 6.661347e-03 4.645976e-03 7.883296e-05
3.045861e+00 6.633710e-03 4.591863e-03 7.807790e-05
3.059101e+00 6.606112e-03 4.726028e-03 7.745424e-05
3.072286e+00 6.579294e-03 4.832617e-03 7.657881e-05
3.085418e+00 6.552201e-03 4.579656e-03 7.504692e-05
3.098495e+00 6.525589e-03 4.750660e-03 7.327412e-05
3.111520e+00 6.499531e-03 4.726321e-03 7.066874e-05
3.124493e+00 6.473222e-03 4.676591e-03 6.967418e-05
3.137413e+00 6.447604e-03 4.600438e-03 7.032967e-05
3.150283e+00 6.422223e-03 4.708542e-03 7.105591e-05
3.163102e+00 6.396810e-03 4.776163e-03 7.056784e-05
3.175870e+00 6.372037e-03 4.770176e-03 6.990528e-05
3.188590e+00 6.347381e-03 4.749507e-03 7.050829e-05
3.201260e+00 6.322633e-03 4.761486e-03 7.207535e-05
3.213881e+00 6.298524e-03 4.736117e-03 7.183372e-05
3.226454e+00 6.274938e-03 4.562722e-03 7.230447e-05
3.238980e+00 6.250889e-03 4.718838e-03 7.434282e-05
3.251458e+00 6.227082e-03 4.768672e-03 7.600442e-05
3.263889e+00 6.204142e-03 4.672414e-03 7.535983e-05
3.276274e+00 6.181374e-03 4.763074e-03 7.366276e-05
3.288614e+00 6.158279e-03 4.844719e-03 7.388228e-05
3.300907e+00 6.135419e-03 4.591431e-03 7.677759e-05
3.313156e+00 6.113274e-03 4.734573e-03 7.613849e-05
3.325360e+00 6.091349e-03 4.667509e-03 7.471569e-05
3.337521e+00 6.069335e-03 4.854441e-03 7.407334e-05
3.349638e+00 6.047345e-03 4.687580e-03 7.354873e-05
3.361711e+00 6.025803e-03 4.698483e-03 7.253411e-05
3.373741e+00 6.004661e-03 4.784333e-03 7.231478e-05
3.385729e+00 5.983688e-03 4.750381e-03 7.324005e-05
3.397676e+00 5.962839e-03 4.871727e-03 7.386449e-05
3.409581e+00 5.941911e-03 4.718592e-03 7.441420e-05
3.421443e+00 5.921158e-03 4.775685e-03 7.456124e-05
3.433265e+00 5.900876e-03 4.869734e-03 7.421345e-05
3.445047e+00 5.880799e-03 4.614091e-03 7.397294e-05
3.456789e+00 5.860871e-03 4.701658e-03 7.410179e-05
3.468490e+00 5.841115e-03 4.723293e-03 7.426688e-05
3.480153e+00 5.821571e-03 4.780981e-03 7.404796e-05
3.491777e+00 5.802011e-03 4.761159e-03 7.349783e-05
3.503361e+00 5.782557e-03 4.601265e-03 7.491628e-05
3.514907e+00 5.763496e-03 4.716123e-03 7.788892e-05
3.526415e+00 5.744621e-03 4.615761e-03 7.903760e-05
3.537885e+00 5.725853e-03 4.740965e-03 7.784146e-05
3.549318e+00 5.707304e-03 4.778161e-03 7.515999e-05
3.560715e+00 5.688882e-03 4.624358e-03 7.476086e-05
3.572074e+00 5.670568e-03 4.729803e-03 7.556825e-05
3.583397e+00 5.652472e-03 4.686546e-03 7.579105e-05
3.594684e+00 5.634520e-03 4.767517e-03 7.528236e-05
3.605935e+00 5.616662e-03 4.574423e-03 7.461380e-05
3.617150e+00 5.598996e-03 4.649631e-03 7.426603e-05
3.628331e+00 5.581504e-03 4.792098e-03 7.425263e-05
3.639477e+00 5.564132e-03 4.660849e-03 7.447043e-05
3.650587e+00 5.546909e-03 4.630402e-03 7.478176e-05
3.661664e+00 5.529856e-03 4.776979e-03 7.467610e-05
3.672707e+00 5.512864e-03 4.747785e-03 7.400920e-05
3.683716e+00 5.496065e-03 4.775978e-03 7.376753e-05
3.694691e+00 5.479441e-03 4.674239e-03 7.436685e-05
3.705633e+00 5.462824e-03 4.916166e-03 7.571566e-05
3.716542e+00 5.446399e-03 4.955584e-03 7.562079e-05
3.727419e+00 5.430215e-03 4.823878e-03 7.540373e-05
3.738263e+00 5.414056e-03 4.709413e-03 7.544937e-05
3.749075e+00 5.398063e-03 4.686698e-03 7.598924e-05
3.759856e+00 5.382232e-03 4.717733e-03 7.640341e-05
3.770604e+00 5.366442e-03 4.677211e-03 7.637617e-05
3.781321e+00 5.350896e-03 4.682577e-03 7.582675e-05
3.792008e+00 5.335373e-03 4.688171e-03 7.502019e-05
3.802663e+00 5.319974e-03 4.835458e-03 7.496701e-05
3.813288e+00 5.304748e-03 4.852411e-03 7.544752e-05
3.823882e+00 5.289566e-03 4.593916e-03 7.639910e-05
3.834446e+00 5.274631e-03 4.562799e-03 7.761400e-05
3.844980e+00 5.259801e-03 4.639118e-03 7.892047e-05
3.855485e+00 5.245000e-03 4.635800e-03 7.993782e-05
3.865960e+00 5.230246e-03 4.660261e-03 7.987477e-05
3.876406e+00 5.215512e-03 4.715705e-03 7.924553e-05
3.886822e+00 5.201052e-03 4.750602e-03 7.897783e-05
3.897210e+00 5.186719e-03 4.646997e-03 7.917833e-05
3.907569e+00 5.172453e-03 4.634514e-03 7.920520e-05
3.917900e+00 5.158434e-03 4.711235e-03 7.911650e-05
3.928203e+00 5.144520e-03 4.618740e-03 7.924771e-05
3.938478e+00 5.130641e-03 4.633990e-03 8.012718e-05
3.948726e+00 5.116651e-03 4.837829e-03 8.083471e-05
3.958945e+00 5.102730e-03 4.625405e-03 8.129752e-05
3.969136e+00 5.089150e-03 4.672818e-03 8.147831e-05
3.979301e+00 5.075686e-03 4.783782e-03 8.167016e-05
3.989439e+00 5.062279e-03 4.695723e-03 8.201064e-05
3.999550e+00 5.049049e-03 4.590048e-03 8.262150e-05
4.009635e+00 5.035851e-03 4.785265e-03 8.325133e-05
4.019694e+00 5.022456e-03 4.777222e-03 8.412894e-05
4.029725e+00 5.009214e-03 4.718765e-03 8.507447e-05
4.039731e+00 4.996400e-03 4.728393e-03 8.583806e-05
4.049711e+00 4.983654e-03 4.780998e-03 8.562912e-05
4.059665e+00 4.971022e-03 4.749731e-03 8.561892e-05
4.069595e+00 4.958192e-03 4.733189e-03 8.635144e-05
4.079498e+00 4.945282e-03 4.724238e-03 8.796718e-05
4.089376e+00 4.932924e-03 4.687459e-03 8.944703e-05
4.099230e+00 4.920652e-03 4.650843e-03 9.054649e-05
4.109059e+00 4.908380e-03 4.705884e-03 9.070044e-05
4.118863e+00 4.895936e-03 4.806418e-03 9.129981e-05
4.128642e+00 4.883549e-03 4.905192e-03 9.244927e-05
4.138398e+00 4.871621e-03 4.572910e-03 9.380428e-05
4.148129e+00 4.859703e-03 4.810359e-03 9.432713e-05
4.157836e+00 4.847684e-03 4.632977e-03 9.403651e-05
4.167520e+00 4.835672e-03 4.889298e-03 9.440305e-05
4.177179e+00 4.823970e-03 4.693860e-03 9.443718e-05
4.186816e+00 4.812527e-03 4.692080e-03 9.419905e-05
4.196429e+00 4.800727e-03 4.616628e-03 9.603466e-05
4.206018e+00 4.788960e-03 4.851864e-03 9.870931e-05
4.215585e+00 4.777585e-03 4.715349e-03 1.023919e-04
4.225129e+00 4.766447e-03 4.806144e-03 1.045302e-04
4.234651e+00 4.754965e-03 4.803786e-03 1.077490e-04
4.244149e+00 4.743439e-03 4.888833e-03 1.125502e-04
4.253624e+00 4.732545e-03 4.700757e-03 1.155952e-04
4.263079e+00 4.721429e-03 4.814074e-03 1.134044e-04
4.272510e+00 4.710073e-03 4.775342e-03 1.089441e-04
4.281919e+00 4.699175e-03 4.672696e-03 1.068165e-04
4.291307e+00 4.688578e-03 4.676201e-03 1.068874e-04
4.300673e+00 4.677608e-03 4.512180e-03 1.109849e-04
4.310017e+00 4.666584e-03 4.920712e-03 1.132751e-04
4.319340e+00 4.656146e-03 4.650208e-03 1.140947e-04
4.328642e+00 4.645555e-03 4.712528e-03 1.118714e-04
4.337922e+00 4.634693e-03 4.692685e-03 1.104838e-04
4.347181e+00 4.624395e-03 4.790642e-03 1.098547e-04
4.356420e+00 4.613993e-03 4.653451e-03 1.124822e-04
4.365637e+00 4.603396e-03 4.714566e-03 1.157411e-04
4.374833e+00 4.593160e-03 4.770643e-03 1.197099e-04
4.384009e+00 4.583015e-03 4.726541e-03 1.225442e-04
4.393165e+00 4.572648e-03 4.813839e-03 1.234888e-04
4.402300e+00 4.562565e-03 4.759463e-03 1.210831e-04
4.411415e+00 4.552646e-03 4.760161e-03 1.194066e-04
4.420510e+00 4.542414e-03 4.490047e-03 1.182591e-04
4.429585e+00 4.532590e-03 4.573545e-03 1.184048e-04
4.438641e+00 4.522716e-03 4.535619e-03 1.184909e-04
4.447676e+00 4.512747e-03 4.775083e-03 1.185431e-04
4.456692e+00 4.503192e-03 4.674391e-03 1.211786e-04
4.465689e+00 4.493365e-03 4.706868e-03 1.240245e-04
4.474665e+00 4.483546e-03 4.699141e-03 1.269243e-04
4.483623e+00 4.474216e-03 4.737463e-03 1.287833e-04
4.492562e+00 4.464499e-03 4.699209e-03 1.306479e-04
4.501481e+00 4.454949e-03 4.700335e-03 1.353209e-04
4.510382e+00 4.445619e-03 4.690222e-03 1.365605e-04
4.519263e+00 4.436024e-03 4.606335e-03 1.345054e-04
4.528126e+00 4.426981e-03 4.603790e-03 1.327547e-04
4.536971e+00 4.417500e-03 4.665122e-03 1.310395e-04
4.545796e+00 4.408121e-03 4.949067e-03 1.291682e-04
4.554604e+00 4.399137e-03 4.619076e-03 1.299671e-04
4.563393e+00 4.389868e-03 4.706441e-03 1.328657e-04
4.572163e+00 4.380988e-03 4.579796e-03 1.383979e-04
4.580917e+00 4.371838e-03 4.782140e-03 1.422581e-04
4.589651e+00 4.362785e-03 4.938767e-03 1.393842e-04
4.598368e+00 4.354016e-03 4.804992e-03 1.373000e-04
4.607067e+00 4.345053e-03 4.729120e-03 1.357479e-04
4.615748e+00 4.336399e-03 4.665186e-03 1.371555e-04
4.624412e+00 4.327453e-03 4.764334e-03 1.382633e-04
4.633058e+00 4.318791e-03 4.645068e-03 1.378335e-04
4.641687e+00 4.310106e-03 4.688168e-03 1.360062e-04
4.650298e+00 4.301329e-03 4.720026e-03 1.333456e-04
4.658893e+00 4.292825e-03 4.732210e-03 1.337471e-04
4.667469e+00 4.284143e-03 4.789824e-03 1.353952e-04
4.676029e+00 4.275827e-03 4.561258e-03 1.406278e-04
4.684573e+00 4.267321e-03 4.849724e-03 1.428585e-04
4.693099e+00 4.258987e-03 4.705140e-03 1.418144e-04
4.701609e+00 4.250507e-03 4.821270e-03 1.408885e-04
4.710101e+00 4.242231e-03 4.490384e-03 1.399215e-04
4.718578e+00 4.233885e-03 4.843051e-03 1.382948e-04
4.727036e+00 4.225586e-03 4.600679e-03 1.375819e-04
4.735480e+00 4.217452e-03 5.220352e-03 1.382216e-04
4.743906e+00 4.209256e-03 4.567736e-03 1.394741e-04
4.752317e+00 4.201205e-03 4.531429e-03 1.416633e-04
4.760711e+00 4.193110e-03 4.757897e-03 1.424547e-04
4.769089e+00 4.185140e-03 4.742534e-03 1.430739e-04
4.777451e+00 4.177146e-03 4.770511e-03 1.437056e-04
4.785798e+00 4.169256e-03 4.774568e-03 1.456818e-04
4.794128e+00 4.161343e-03 4.782539e-03 1.492670e-04
4.802443e+00 4.153438e-03 4.600700e-03 1.510118e-04
4.810742e+00 4.145560e-03 4.742715e-03 1.520293e-04
4.819026e+00 4.137829e-03 4.837023e-03 1.498633e-04
4.827293e+00 4.130109e-03 4.978215e-03 1.490634e-04
4.835546e+00 4.122360e-03 4.541497e-03 1.525723e-04
4.843783e+00 4.114676e-03 4.884820e-03 1.556587e-04
4.852005e+00 4.107099e-03 4.490848e-03 1.580989e-04
4.860211e+00 4.099505e-03 4.540315e-03 1.559650e-04
4.868403e+00 4.091910e-03 4.369577e-03 1.522446e-04
4.876579e+00 4.084458e-03 4.641797e-03 1.557395e-04
4.884741e+00 4.076938e-03 4.381344e-03 1.604383e-04
4.892887e+00 4.069516e-03 4.294891e-03 1.678608e-04
4.901019e+00 4.062071e-03 4.472743e-03 1.727619e-04
4.909135e+00 4.054740e-03 4.878018e-03 1.722592e-04
4.917238e+00 4.047367e-03 4.561528e-03 1.740835e-04
4.925324e+00 4.040125e-03 4.851216e-03 1.776030e-04
4.933398e+00 4.032825e-03 4.613587e-03 1.701497e-04
4.941456e+00 4.025610e-03 4.811237e-03 1.613417e-04
4.949501e+00 4.018381e-03 4.583166e-03 1.566992e-04
4.957529e+00 4.011173e-03 4.749482e-03 1.529794e-04
4.965545e+00 4.004116e-03 4.653288e-03 1.515138e-04
4.973546e+00 3.996965e-03 4.562282e-03 1.512787e-04
4.981533e+00 3.989958e-03 4.627558e-03 1.529727e-04
4.989506e+00 3.982854e-03 4.710199e-03 1.570564e-04
4.997465e+00 3.975969e-03 4.706230e-03 1.634448e-04
5.005409e+00 3.968934e-03 4.726697e-03 1.645360e-04
5.013340e+00 3.962096e-03 4.690604e-03 1.613482e-04
5.021258e+00 3.955085e-03 4.672664e-03 1.614314e-04
5.029161e+00 3.948185e-03 4.666390e-03 1.618909e-04
5.037051e+00 3.941430e-03 4.635771e-03 1.629557e-04
5.044926e+00 3.934524e-03 4.981918e-03 1.633710e-04
5.052789e+00 3.927863e-03 4.543615e-03 1.617298e-04
5.060638e+00 3.921061e-03 4.794154e-03 1.604807e-04
5.068473e+00 3.914502e-03 4.803853e-03 1.598129e-04
5.076296e+00 3.907691e-03 5.088392e-03 1.613215e-04
5.084104e+00 3.900978e-03 4.795215e-03 1.648336e-04
5.091900e+00 3.894458e-03 5.107769e-03 1.675108e-04
5.099682e+00 3.887736e-03 4.773511e-03 1.697622e-04
5.107451e+00 3.881388e-03 4.939841e-03 1.681996e-04
5.115207e+00 3.874697e-03 4.749405e-03 1.673396e-04
5.122949e+00 3.868299e-03 4.654968e-03 1.732514e-04
5.130680e+00 3.861811e-03 4.709561e-03 1.803284e-04
5.138397e+00 3.855229e-03 4.393292e-03 1.884593e-04
5.146101e+00 3.848954e-03 4.768187e-03 1.950995e-04
5.153793e+00 3.842439e-03 4.566446e-03 1.913067e-04
5.161471e+00 3.836219e-03 4.992870e-03 1.879505e-04
5.169137e+00 3.829885e-03 4.782978e-03 1.853977e-04
5.176790e+00 3.823426e-03 5.047654e-03 1.834573e-04
5.184431e+00 3.817334e-03 4.799527e-03 1.823017e-04
5.192060e+00 3.810936e-03 4.533247e-03 1.824255e-04
5.199675e+00 3.804695e-03 4.900264e-03 1.837997e-04
5.207279e+00 3.798578e-03 4.685710e-03 1.867883e-04
5.214869e+00 3.792260e-03 4.396960e-03 1.888930e-04
5.222448e+00 3.786467e-03 4.804093e-03 1.904459e-04
5.230015e+00 3.780213e-03 4.357871e-03 1.917455e-04
5.237568e+00 3.773989e-03 4.750660e-03 1.921022e-04
5.245111e+00 3.768106e-03 4.536218e-03 1.921674e-04
5.252641e+00 3.761858e-03 4.643400e-03 1.915256e-04
5.260158e+00 3.755872e-03 4.587736e-03 1.907921e-04
5.267664e+00 3.749986e-03 4.512937e-03 1.944386e-04
5.275158e+00 3.743898e-03 5.049977e-03 1.987263e-04
5.282640e+00 3.738135e-03 4.729056e-03 2.007620e-04
5.290111e+00 3.732221e-03 4.773062e-03 2.027770e-04
5.297569e+00 3.728985e-03 4.605965e-03 2.051652e-04
